OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-37055,2026-049F,2026-03-19T12:21:42.575040,16.02010555,.0002763,97.2798,98.0710,38.6438,321.5038,0,U,68147,999,95,-.62842E-3,-.358165E-2,.4958E-4
STARLINK-36981,2026-049G,2026-03-19T12:18:54.316224,16.00484791,.0009222,97.2791,98.0740,123.9534,236.2623,0,U,68148,999,95,-.87998E-2,-.4741621E-1,.76603E-2
STARLINK-36992,2026-049H,2026-03-19T12:18:40.975200,16.03449672,.00058926,97.2794,98.0748,16.2793,343.8675,0,U,68149,999,95,.90936275E-3,.56212E-2,.14894956E-3
STARLINK-37060,2026-049J,2026-03-19T12:18:16.376256,16.03397341,.000386,97.2790,98.0753,339.2818,20.8305,0,U,68150,999,95,.83559E-3,.514433E-2,.12358E-3
STARLINK-37073,2026-049K,2026-03-19T12:17:46.658976,16.03149567,.0000583,97.2790,98.0750,352.5845,7.5426,0,U,68151,999,95,-.81365E-3,-.494902E-2,.91744E-4
STARLINK-37049,2026-049L,2026-03-19T00:18:24.647328,16.04917116,.0000474,97.2794,97.5302,89.6838,270.4498,0,U,68152,999,87,-.61657E-3,-.417006E-2,.68149E-4
STARLINK-37072,2026-049M,2026-03-19T12:16:50.098080,16.03506250,.0002614,97.2788,98.0760,12.6003,347.5342,0,U,68153,999,95,-.25962E-3,-.162025E-2,.12479E-4
STARLINK-36241,2026-049N,2026-03-19T12:15:49.006368,16.03790974,.0002702,97.2787,98.0764,13.1240,347.0110,0,U,68154,999,95,-.21485E-3,-.136495E-2,.95698E-5
STARLINK-37048,2026-049P,2026-03-19T07:45:22.656096,16.04907380,.0002251,97.2786,97.8732,149.8692,210.2719,0,U,68155,999,92,.15061E-3,.101037E-2,.66606E-5
STARLINK-36313,2026-049Q,2026-03-19T12:15:24.149088,16.03927223,.0002314,97.2787,98.0771,1.4479,358.6808,0,U,68156,999,95,-.26937E-3,-.172305E-2,.13864E-4
