OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
QIANFAN-66,2025-016M,2026-03-21T04:33:46.082016,13.50997602,.001684,88.9684,92.8350,59.0725,301.2079,0,U,62796,999,6058,-.1530344E-4,.2E-7,0
QIANFAN-67,2025-016N,2026-03-21T06:26:17.862720,13.50995972,.001694,88.9674,92.8428,65.0231,295.2678,0,U,62797,999,6056,-.10076366E-4,.6E-7,0
QIANFAN-68,2025-016P,2026-03-21T06:14:28.938624,13.51005998,.00169606,88.9678,92.8925,63.4605,296.8283,0,U,62798,999,6054,.4691977E-5,.15E-6,0
QIANFAN-69,2025-016Q,2026-03-21T06:38:11.212224,13.51006119,.00177375,88.9656,92.7389,64.1782,296.1197,0,U,62799,999,6058,.4703314E-5,.15E-6,0
QIANFAN-70,2025-016R,2026-03-21T05:15:17.654976,13.51007762,.00171303,88.9677,92.9043,55.8766,304.4007,0,U,62800,999,6053,.30976462E-4,.32E-6,0
QIANFAN-71,2025-016S,2026-03-21T05:09:19.297152,13.50997214,.00177099,88.9671,92.8782,67.4967,292.8057,0,U,62801,999,6053,-.8376639E-5,.7E-7,0
QIANFAN-72,2025-016T,2026-03-21T03:46:23.813184,13.50996770,.00210749,88.9662,92.8880,73.6379,286.7087,0,U,62802,999,6051,-.20863101E-4,-.1E-7,0
TJS-14,2025-017A,2026-03-20T04:55:58.089216,1.00276225,.0002205,0.9920,290.6572,58.7205,280.7884,0,U,62804,999,437,0,.117E-5,0
STARLINK-32883,2025-018A,2026-03-21T05:04:43.879872,15.30214794,.0000752,53.1595,255.9951,57.6808,302.4265,0,U,62806,999,6585,.15014271E-2,.44395E-3,0
STARLINK-32886,2025-018B,2026-03-21T05:03:10.952352,15.30224730,.0001058,53.1591,255.9847,95.4082,264.7039,0,U,62807,999,6494,.12456986E-2,.36746E-3,0
STARLINK-32848,2025-018C,2026-03-21T05:10:47.008704,15.30219834,.00013874,53.1616,256.0164,254.8285,105.2562,0,U,62808,999,6493,.10360158E-2,.30469E-3,0
STARLINK-32787,2025-018D,2026-03-21T05:00:08.866944,15.30211615,.00015178,53.1606,255.9730,89.3591,270.7584,0,U,62809,999,6493,.11706296E-2,.34485E-3,0
STARLINK-32851,2025-018E,2026-03-21T05:07:44.455872,15.30223286,.00009246,53.1605,256.0077,87.7991,272.3116,0,U,62810,999,6493,.83846006E-3,.24574E-3,0
STARLINK-32847,2025-018F,2026-03-21T04:41:54.172896,15.30231055,.00006179,53.1585,255.8921,96.4507,263.6564,0,U,62811,999,6493,.10024616E-2,.29477E-3,0
STARLINK-32837,2025-018G,2026-03-21T04:55:34.971168,15.30222359,.00003224,53.1599,255.9637,165.0079,195.0932,0,U,62812,999,6494,.68071771E-3,.1987E-3,0
STARLINK-32855,2025-018H,2026-03-21T04:37:20.979552,15.30220131,.00008709,53.1573,255.8731,94.5266,265.5834,0,U,62813,999,6493,.80204012E-3,.23485E-3,0
STARLINK-32843,2025-018J,2026-03-20T20:06:13.227840,15.30210199,.00005566,53.1591,257.9258,81.6422,278.4642,0,U,62814,999,6487,.10890453E-2,.32045E-3,0
STARLINK-32845,2025-018K,2026-03-20T11:31:53.000256,15.30205656,.00005897,53.1582,259.2501,93.3438,266.7631,0,U,62815,999,6482,.35969517E-3,.10311E-3,0
STARLINK-32854,2025-018L,2026-03-20T23:03:41.166432,15.30184326,.00008567,53.1590,257.2723,71.2152,288.8942,0,U,62816,999,6488,.66671677E-3,.19429E-3,0
STARLINK-32824,2025-018M,2026-03-21T04:49:28.096896,15.30278459,.00010363,53.1594,255.9226,76.4691,283.6425,0,U,62817,999,6588,.1428665E-2,.42298E-3,0
STARLINK-32853,2025-018N,2026-03-20T11:25:48.528768,15.30198493,.00012429,53.1576,259.2229,89.5055,270.6088,0,U,62818,999,6483,.34774159E-3,.9953E-4,0
STARLINK-32856,2025-018P,2026-03-21T05:13:49.165824,15.30216965,.00011691,53.1600,256.0294,101.3987,258.7145,0,U,62819,999,6494,.67000434E-3,.19547E-3,0
STARLINK-32844,2025-018Q,2026-03-20T23:02:10.218336,15.30220660,.0001193,53.1591,257.2605,94.4436,265.6701,0,U,62820,999,6489,.10321328E-2,.30354E-3,0
STARLINK-32782,2025-018R,2026-03-21T04:58:37.431552,15.30220733,.00013027,53.1601,255.9636,86.5104,273.6046,0,U,62821,999,6494,.70369269E-3,.20553E-3,0
STARLINK-32842,2025-018S,2026-03-21T05:09:15.824736,15.30227813,.00011786,53.1586,256.0107,85.6154,274.4981,0,U,62822,999,6494,.96183386E-3,.2826E-3,0
STARLINK-32823,2025-018T,2026-03-21T04:44:56.768064,15.30219695,.00008775,53.1585,255.9041,86.1626,273.9475,0,U,62823,999,6494,.10323059E-2,.30358E-3,0
