OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-36980,2026-049E,2026-03-19T13:49:53.120928,16.02210843,4.697e-05,97.2792,98.1417,81.7263,278.407,68146.0,999.0,96.0,-0.0010788069,-0.00620452,0.00013835533
STARLINK-37055,2026-049F,2026-03-19T12:21:42.575040,16.02010555,0.0002763,97.2798,98.071,38.6438,321.5038,68147.0,999.0,95.0,-0.00062842,-0.00358165,4.958e-05
STARLINK-36981,2026-049G,2026-03-19T12:18:54.316224,16.00484791,0.0009222,97.2791,98.074,123.9534,236.2623,68148.0,999.0,95.0,-0.0087998,-0.04741621,0.0076603
STARLINK-36992,2026-049H,2026-03-19T12:18:40.975200,16.03449672,0.00058926,97.2794,98.0748,16.2793,343.8675,68149.0,999.0,95.0,0.00090936275,0.0056212,0.00014894956
STARLINK-37060,2026-049J,2026-03-19T12:18:16.376256,16.03397341,0.000386,97.279,98.0753,339.2818,20.8305,68150.0,999.0,95.0,0.00083559,0.00514433,0.00012358
STARLINK-37073,2026-049K,2026-03-19T12:17:46.658976,16.03149567,5.83e-05,97.279,98.075,352.5845,7.5426,68151.0,999.0,95.0,-0.00081365,-0.00494902,9.1744e-05
STARLINK-37049,2026-049L,2026-03-19T00:18:24.647328,16.04917116,4.74e-05,97.2794,97.5302,89.6838,270.4498,68152.0,999.0,87.0,-0.00061657,-0.00417006,6.8149e-05
STARLINK-37072,2026-049M,2026-03-19T12:16:50.098080,16.0350625,0.0002614,97.2788,98.076,12.6003,347.5342,68153.0,999.0,95.0,-0.00025962,-0.00162025,1.2479e-05
STARLINK-36241,2026-049N,2026-03-19T12:15:49.006368,16.03790974,0.0002702,97.2787,98.0764,13.124,347.011,68154.0,999.0,95.0,-0.00021485,-0.00136495,9.5698e-06
STARLINK-37048,2026-049P,2026-03-19T07:45:22.656096,16.0490738,0.0002251,97.2786,97.8732,149.8692,210.2719,68155.0,999.0,92.0,0.00015061,0.00101037,6.6606e-06
STARLINK-36313,2026-049Q,2026-03-19T12:15:24.149088,16.03927223,0.0002314,97.2787,98.0771,1.4479,358.6808,68156.0,999.0,95.0,-0.00026937,-0.00172305,1.3864e-05
STARLINK-37064,2026-049R,2026-03-19T12:16:14.522880,16.03667729,0.00022388,97.2784,98.0764,357.8304,2.2966,68157.0,999.0,95.0,-0.00022898351,-0.00144348,1.0411467e-05
STARLINK-37069,2026-049S,2026-03-19T12:13:33.650400,16.06600253,0.0001368,97.2784,98.0788,7.264,352.8662,68158.0,999.0,95.0,0.0014785,0.01093981,0.00068408
STARLINK-37053,2026-049T,2026-03-19T07:44:16.985184,16.05261971,0.00025313,97.2784,97.8738,141.0873,219.0591,68159.0,999.0,92.0,9.5454192e-05,0.00065181,4.110318e-06
STARLINK-36306,2026-049U,2026-03-19T12:13:21.534528,16.04569636,0.0002364,97.2782,98.0789,13.0399,347.0943,68160.0,999.0,95.0,-0.00030343808,-0.00201573,1.8201465e-05
STARLINK-37057,2026-049V,2026-03-20T19:44:00.954528,15.99652779,5.165e-05,97.2774,99.5066,61.6825,298.4505,68161.0,999.0,116.0,-0.0015396315,-0.00764003,0.00019799191
STARLINK-37013,2026-049W,2026-03-21T06:09:46.332864,16.02635824,0.00128173,97.2751,99.9893,297.6978,62.3001,68162.0,999.0,123.0,0.0061516568,0.03031931,0.01280841
STARLINK-36958,2026-049X,2026-03-21T00:11:09.324384,15.99834123,0.00015308,97.2762,99.7144,151.8774,208.2587,68163.0,999.0,119.0,-0.0011261656,-0.00565483,0.00011311572
STARLINK-37002,2026-049Y,2026-03-20T19:41:35.358432,16.00359997,5.68e-05,97.2773,99.5096,170.3743,189.7546,68164.0,999.0,116.0,-0.00092965787,-0.00481185,8.4172413e-05
STARLINK-36971,2026-049Z,2026-03-21T03:10:45.749280,15.99636512,0.00022277,97.2759,99.8506,142.1373,218.0062,68165.0,999.0,121.0,-0.00066881456,-0.00332791,4.208313e-05
STARLINK-36273,2026-049AA,2026-03-20T18:09:04.725216,16.01239572,6.488e-05,97.275,99.4439,211.7263,148.3977,68166.0,999.0,115.0,-0.0005628694,-0.00306844,3.6956624e-05
STARLINK-36969,2026-050A,2026-03-19T13:41:02.541120,15.9734321,4.88e-05,53.1618,232.5443,318.1927,41.9065,68167.0,999.0,203.0,-0.0016788,-0.00762286,0.00019812
STARLINK-36984,2026-050B,2026-03-19T13:40:45.953184,15.97468217,5.65e-05,53.162,232.5441,333.0752,27.0248,68168.0,999.0,203.0,-0.0016463,-0.00752821,0.000194
STARLINK-37077,2026-050C,2026-03-19T13:40:26.349024,15.97622802,7.45e-05,53.1619,232.5425,335.0992,25.0002,68169.0,999.0,203.0,-0.0016046,-0.00740191,0.00018853
STARLINK-37003,2026-050D,2026-03-19T13:40:06.896064,15.97788708,4.61e-05,53.162,232.5407,327.9149,32.1853,68170.0,999.0,203.0,-0.0015382,-0.00716345,0.00017815
STARLINK-37034,2026-050E,2026-03-19T13:39:46.570464,15.9791914,5.85e-05,53.1619,232.5395,340.0636,20.0371,68171.0,999.0,203.0,-0.0015903,-0.00745719,0.00019165
STARLINK-37031,2026-050F,2026-03-19T13:39:25.217568,15.98076782,4.58e-05,53.162,232.5378,346.3779,13.7239,68172.0,999.0,203.0,-0.0015788,-0.00746879,0.0001925
STARLINK-37076,2026-050G,2026-03-19T12:09:00.468288,15.98507778,6.45e-05,53.1615,232.8571,359.7564,0.3466,68173.0,999.0,202.0,-0.0017873,-0.00864982,0.00025162
STARLINK-37078,2026-050H,2026-03-19T13:38:45.418272,15.98372202,2.61e-05,53.1617,232.5342,74.2706,285.8353,68174.0,999.0,203.0,-0.0016768,-0.00805867,0.00022125
STARLINK-36886,2026-050J,2026-03-19T13:38:26.608992,15.98517353,8.12e-05,53.1618,232.5329,328.5582,31.54,68175.0,999.0,203.0,-0.0014987,-0.00726912,0.00018427
STARLINK-36905,2026-050K,2026-03-19T13:38:05.675136,15.98675796,7.18e-05,53.1619,232.5315,321.9812,38.1167,68176.0,999.0,203.0,-0.0014521,-0.00710734,0.00017733
STARLINK-36668,2026-050L,2026-03-19T13:37:43.637088,15.98826248,6.96e-05,53.1621,232.5297,333.7333,26.3662,68177.0,999.0,203.0,-0.0014604,-0.00720821,0.00018212
STARLINK-36677,2026-050M,2026-03-19T13:37:24.300768,15.9889842,9.19e-05,53.1619,232.5274,18.8959,341.2106,68178.0,999.0,203.0,-0.0018795,-0.00929161,0.00028745
STARLINK-37052,2026-050N,2026-03-19T13:37:01.873056,15.99173693,8.47e-05,53.1613,232.5262,251.3193,108.7745,68179.0,999.0,203.0,-0.0013225,-0.00666179,0.00015892
STARLINK-37035,2026-050P,2026-03-19T13:36:44.886816,15.99266404,5.93e-05,53.1621,232.5248,324.9508,35.1483,68180.0,999.0,203.0,-0.0013647,-0.0069081,0.00016965
STARLINK-37032,2026-050Q,2026-03-19T13:36:22.448736,15.99422141,7.99e-05,53.1621,232.5236,332.8854,27.2135,68181.0,999.0,203.0,-0.0013712,-0.00700217,0.00017407
STARLINK-37082,2026-050R,2026-03-19T13:36:01.596960,15.99579072,9.64e-05,53.1619,232.522,324.698,35.3987,68182.0,999.0,203.0,-0.0013413,-0.00691167,0.00017038
STARLINK-37102,2026-050S,2026-03-19T13:35:43.723392,15.99705953,8.31e-05,53.162,232.5205,338.312,21.7875,68183.0,999.0,203.0,-0.0013158,-0.00683018,0.00016706
STARLINK-36964,2026-050T,2026-03-19T13:35:24.372384,15.9984909,6.43e-05,53.1619,232.5189,330.0119,30.0875,68184.0,999.0,203.0,-0.0012697,-0.00664681,0.00015944
STARLINK-37061,2026-050U,2026-03-19T13:35:07.527840,15.99892771,6.87e-05,53.1616,232.5178,57.4494,302.6603,68185.0,999.0,203.0,-0.0016679,-0.0087302,0.00025966
STARLINK-37079,2026-050V,2026-03-19T13:34:46.972416,16.00099925,0.0001058,53.162,232.5158,326.7573,33.3392,68186.0,999.0,203.0,-0.0012815,-0.00680419,0.00016664
STARLINK-37006,2026-050W,2026-03-19T13:34:25.626432,16.00247413,7.2e-05,53.162,232.5147,325.802,34.2964,68187.0,999.0,203.0,-0.0012753,-0.00682857,0.00016797
STARLINK-36340,2026-050X,2026-03-19T13:34:08.257440,16.00370058,8.84e-05,53.1619,232.5131,330.3319,29.7662,68188.0,999.0,193.0,-0.0012834,-0.00691967,0.0001722
STARLINK-36305,2026-050Y,2026-03-19T13:33:49.347072,16.00507461,6.64e-05,53.1619,232.5118,330.0991,30.0002,68189.0,999.0,193.0,-0.0012521,-0.00680572,0.00016745
STARLINK-37071,2026-050Z,2026-03-19T13:33:09.686880,16.00795573,7.87e-05,53.162,232.5085,120.8561,239.2548,68190.0,999.0,203.0,-0.001241,-0.00685813,0.00017028
STARLINK-37091,2026-050AA,2026-03-19T13:32:49.437312,16.00938134,7.18e-05,53.1618,232.5067,334.018,26.0815,68191.0,999.0,203.0,-0.0011877,-0.00661998,0.00016019
STARLINK-37098,2026-050AB,2026-03-19T13:32:29.433984,16.01069674,6.47e-05,53.1618,232.5054,327.3796,32.7195,68192.0,999.0,203.0,-0.0012086,-0.00678632,0.00016763
STARLINK-37090,2026-050AC,2026-03-19T13:31:47.877312,16.01369308,7.11e-05,53.1621,232.5012,333.6069,26.4927,68193.0,999.0,203.0,-0.0011396,-0.00651387,0.00015641
STARLINK-37093,2026-050AD,2026-03-19T13:33:27.860256,16.00670231,0.0001079,53.1623,232.5098,125.0257,235.0876,68194.0,999.0,203.0,-0.0012185,-0.00668674,0.00016258
STARLINK-37058,2026-050AE,2026-03-19T07:32:38.613984,16.02049525,0.0002524,53.1616,233.7917,340.0442,20.049,68195.0,999.0,43.0,-0.0012605,-0.00749084,0.00020203
UNKNOWN,NORAD-89161,2026-03-20T08:17:33.957888,15.93413522,0.0009475,97.6294,106.9899,106.8536,253.3777,89161.0,999.0,56376.0,0.0031768,0.01120648,0.00057617
